Gender,Age,HSAverage,TxtAmt,Debt,DebtAmt,HrsExer,HrsStudy,MariUse,NoAlBever,AcaMisconduct,DiffFees,HrsSocNet,HrsWeekTV,ComTime,TransMethod,PoliViews
0,18,85,400,0,NA,3,20,0,0,0,0,10,1,30,3,2
0,18,90,200,0,NA,5,3,1,0,0,0,1,3,60,4,2
1,18,83,200,0,NA,11.5,5,0,2,0,1,4,1,15,4,5
0,18,86,800,0,NA,7,9,1,0,1,1,5,3,15,4,3
0,17,90,50,0,NA,5,10,0,0,0,0,3,8,15,2,3
0,18,82,2500,0,NA,10,35,0,0,0,0,15,5,40,3,5
1,20,75,200,0,NA,4,20,0,2,0,1,8,4,10,4,4
1,18,86,800,1,10600,1,24,0,0,0,0,4,1,60,1,5
1,25,70,250,1,40000,2,20,0,1,0,0,2,3,20,4,5
1,21,87,400,0,0,3,30,0,3,0,0,8,20,10,4,4
1,20,87,450,0,NA,5,40,0,1,0,0,5,20,15,3,2
0,19,81,0,0,0,7,1,0,0,0,1,48,48,30,1,4
0,18,80,200,1,6000,6,3,0,0,1,1,2,28,45,1,5
1,19,85,300,1,18000,2,30,0,12,0,0,7,10,20,1,5
1,18,94,500,1,11000,2,20,0,0,0,0,1,5,60,3,1
0,21,87,200,1,12000,8,30,1,12,1,0,14,14,10,4,3
0,21,84,100,1,50000,10,21,0,0,0,1,24,1,15,4,3
0,20,90,200,0,0,10,8,1,2,0,1,4,1,0,4,5
1,22,92,170,0,0,7,13,0,1,0,1,8,2,10,4,2
1,18,95,250,0,0,2,20,0,0,0,0,14,10,10,4,5
0,18,80,800,0,2,10,0,0,0,0,0,5,21,25,3,3
0,18,85,438,0,0,6,24,0,1,0,0,4,3,45,3,2
1,18,94,400,1,20000,2,24,0,0,0,1,24,6,95,3,1
1,17,80,20,0,NA,4,4,1,2,0,1,10,20,10,4,5
0,19,82,500,0,NA,8,10,0,10,0,0,10,9,5,4,1
1,19,80,400,1,500,8,21,0,0,0,1,5,5,15,4,2
1,21,88,300,0,NA,4,2,0,2,0,0,2,2,20,3,2
0,19,90,400,NA,6000,2,10,0,0,0,1,10,0,1,3,5
1,18,79,130,1,2500,3,10,0,0,0,1,5,7,45,3,5
1,17,82,225,1,10000,NA,2,0,1,0,0,2,35,55,3,5
0,17,89,500,0,0,18,5,1,5,1,0,7,0,42,3,2
0,18,85,400,0,NA,6,25,0,5,1,1,8,8,50,3,2
0,19,84,400,1,10000,5,29,1,4,0,1,3,2,2,3,1
1,18,86,0,0,0,5,10,1,2,1,1,3,10,15,3,1
1,19,93,250,1,3000,3,20,0,0,0,1,14,7,60,3,2
1,21,85,300,0,NA,5,10,0,0,0,0,0.5,2,30,1,2
0,20,86,100,0,NA,7,42,0,0,0,1,10,5,40,3,5
0,19,80,200,1,1000,12,21,0,0,0,0,3,0,5,4,5
0,19,89,200,1,10000,1,10,0,0,1,1,10,2,110,3,1
1,18,93,270,0,NA,4,20,0,0,0,0,0,0,35,3,5
1,20,91,300,0,0,30,0,0,0,1,0,5,60,3,3,5
1,21,87,200,0,NA,2,15,0,0,0,0,0,8,15,3,2
1,21,92,100,0,NA,6,30,1,4,0,1,2,10,20,1,5
0,22,83,250,1,20000,10,15,0,12,1,1,10,15,15,1,1
0,19,85,600,0,NA,3,7,0,2,0,1,0,2,30,2,3
1,19,85,700,0,0,2,20,1,8,0,1,5,2,60,3,1
1,18,85,550,1,400,2,12,0,8,0,0,3,1,20,1,1
0,20,87,500,1,70,5,12,0,9,1,0,3,10,20,1,2
0,18,85,700,0,NA,2,5,1,6,1,1,2,6,35,1,2
0,20,84,200,0,NA,5,15,0,2,1,1,2,10,30,3,2
0,20,84,200,0,NA,5,15,0,2,1,1,2,10,30,3,2
0,18,90,475,1,2000,2,10,1,15,1,0,4,15,60,3,1
1,19,80,5,0,0,0,10,0,0,1,0,72,12,45,3,5
1,23,81,400,1,15000,6,15,0,2,0,1,3,4,60,3,1
1,19,85,0,0,NA,0,1,0,0,0,0,2,2,45,3,2
1,20,86,500,0,0,12,10,0,9,0,1,20,2,20,1,5
0,20,75,0,1,5,15,6,1,6,1,0,3,10,20,1,5
0,20,62,250,0,6,15,1,1,0,0,1,3,15,15,4,1
1,18,73,275,0,0,5,12,0,0,0,1,3,20,35,1,4
0,20,80,1000,0,0,4,2,0,1,0,0,6,4,30,1,2
1,19,83,300,0,0,5,30,0,0,0,0,50,5,45,3,4
0,19,84,400,0,NA,4,6,0,14,0,0,7,4,14,4,2
0,19,91,50,1,20000,5,11,0,0,0,1,1,3,60,1,1
1,19,95,100,0,NA,0,40,0,0,0,0,1,0,60,3,5
1,20,86,330,0,NA,3,30,1,0,0,1,1,5,40,3,2
0,19,86,200,1,8000,4,5,0,1,0,1,16,20,60,3,2
0,20,88,125,0,0,15,20,0,0,0,1,2,5,30,2,4
0,20,83,150,0,NA,2,20,0,0,0,0,5,8,25,1,2
1,18,95,600,1,11000,6,40,0,5,0,1,10,5,0,4,5
1,18,89,500,0,NA,5,25,0,15,0,1,20,5,0,4,5
1,19,90,500,0,NA,10,30,1,10,1,0,10,0,20,1,2
0,19,88,40,1,1000,14,5,1,10,0,0,2,8,6,3,4
0,19,86,200,1,2000,4,25,0,0,0,0,24,8,30,1,5
1,19,82.5,160,0,0,1,10,0,0,1,0,25,20,20,3,1
1,19,80,0,1,8000,3,4,0,0,0,0,7,7,30,3,5
0,19,86,300,1,5000,8,15,1,20,1,1,5,1,15,4,1
1,19,85,300,0,0,3,20,0,3,0,0,30,2,35,3,2
1,19,80,400,0,NA,5,18,0,2,0,1,2,2,40,3,2
0,18,93,270,1,1000,2,20,0,4,1,0,1,10,25,1,2
1,18,85,600,0,NA,2,20,0,2,1,0,5,5,50,1,1
1,18,85,500,0,NA,5,25,0,3,0,1,8,2,60,3,5
0,18,82,600,1,3000,14,35,0,0,0,1,5,20,75,3,1
1,23,90,150,0,NA,3,40,0,3,0,0,20,3,25,1,5
1,21,95,150,0,NA,4,5,0,0,0,0,1,1,30,3,2
0,17,84,400,0,NA,0,14,0,0,1,0,1,10,15,6,5
1,18,78,350,0,NA,1,20,1,2,0,0,35,4,30,1,5
1,26,80,200,0,0,10,20,0,0,0,1,5,10,1,3,5
1,21,84,400,0,NA,NA,0,0,0,0,0,5,3,0,3,5
0,18,83,0,0,NA,7,28,0,0,1,1,1,7,45,3,3
0,21,81,600,0,NA,6,10,0,0,0,1,7,1,70,3,2
0,18,87,30,1,3280,7,5,0,0,0,1,1,7,90,3,2
0,19,84,200,0,0,12,20,0,0,0,1,2,5,25,3,2
0,18,82,250,0,0,4,14,1,2,0,1,7,7,60,3,3
0,18,91,200,0,NA,4,12,0,2,0,1,4,6,45,3,2
1,18,86,300,0,0,4,14,0,0,0,0,2,5,70,2,3
1,21,88,300,0,NA,6,50,0,2,0,1,10,3,10,1,1
1,18,92,400,0,NA,3,20,0,3,0,1,3,2,60,3,5
0,19,82,350,0,NA,5,10,1,2,0,1,2,3,45,3,2
1,19,91,300,0,0,14,0,0,0,0,1,5,30,3,1,5
1,20,94,100,1,22000,3,15,0,0,0,1,7,1,10,4,5
1,20,89,150,0,0,5,7,1,0,1,0,13,21,10,5,5
1,20,90,250,1,22000,3,21,1,0,1,0,28,12,15,3,5
1,18,88,250,1,7000,12,20,0,0,1,1,2,2,60,3,2
0,19,84,180,0,NA,0,8,0,0,0,1,0,0,20,3,1
1,19,90,150,1,30000,7,14,0,2,0,0,10,1,10,4,5
1,20,87,100,1,15000,2,35,0,0,0,1,14,4,30,3,5
0,19,87,170,1,2100,0,15,0,0,0,0,20,20,45,3,2
1,19,84,400,1,800,5,30,0,0,1,0,14,3,40,1,1
0,18,85,600,0,NA,5,20,0,0,1,0,20,10,20,3,2
